i,address,end,name_i,newlines,name,string
0,0x606ff,0x607a3,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
called the Farm
Story. It tells
you how to till
the soil in Uー
shapes.You can't
fit it in your
bookshelf.
<var>0G.
 Yes          No<ask>"
1,0x607a3,0x60856,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
called the Farm
Story 2. It
tells you how to
till the soil in
twoーline shapes.
You can't fit it
in your bookー
shelf.
<var>0G.

 Yes          No<ask>"
2,0x60856,0x608f0,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
about butter.
You can make
butter without a
Butter Maker.
You can't fit it
in your bookー
shelf.
<var>0G.
 Yes          No<ask>"
3,0x608f0,0x6098a,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
about cheese.
You can make
cheese without a
Cheese Maker.
You can't fit it
in your bookー
shelf.
<var>0G.
 Yes          No<ask>"
4,0x6098a,0x60a2d,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
about
mayonnaise.
You can make
mayonnaise
without a Mayoー
Maker. You can't
fit it in your
bookshelf.
<var>0G.

 Yes          No<ask>"
5,0x60a2d,0x60ace,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
called Yarn for
Beginners. You
can make yarn
without a Yarn
Maker. You can't
fit it in your
bookshelf.
<var>0G.
 Yes          No<ask>"
6,0x60ace,0x60b6e,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
called Easy
Knitting. You
can knit
without a
Sweater Maker.
You can't fit it
in your bookー
shelf.
<var>0G.

 Yes          No<ask>"
7,0x60b6e,0x60c14,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", "" \\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
about rice
cakes. Anyone
can make rice
cakes after
reading this.
You can't fit it
in your bookー
shelf.

<var>0G.
 Yes          No<ask>"
8,0x60c14,0x60cbb,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
about baking
bread. Anyone
can bake bread
after reading
this book.
You can't fit it
in your bookー
shelf.
<var>0G.

 Yes          No<ask>"
9,0x60cbb,0x60d5f,14,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Lyla,"That book is
the Cherry Cup
Report. You can
get information
about horse
racing.
You can fit it
in your bookー
shelf.
<var>0G.

 Yes          No<ask>"
