i,address,end,name_i,newlines,name,string
0,0x1c0a3,0x1c0ba,,"[""\\n"", ""<waita>@""]",,"Lumber
            <var>0"
1,0x1c0ba,0x1c0d1,,"[""\\n"", ""<waita>@""]",,"Fodder
            <var>0"
2,0x1c0d1,0x1c0e0,,"[""<waita>@""]",,Right: Field
3,0x1c0e0,0x1c0ec,,"[""<waita>@""]",,Hot Spring
4,0x1c0ec,0x1c0f5,,"[""<waita>@""]",,Storage
5,0x1c0f5,0x1c108,,"[""<waita>@""]",,Down: Island Map
6,0x1c108,0x1c125,,"[""\\n"", ""<waita>@""]",,"Secret Garden
Do Not Enter."
7,0x1c125,0x1c131,,"[""<waita>@""]",,Hot Spring
8,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
9,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
10,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
11,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
12,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
13,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
14,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
15,0x1c131,0x1c13e,,"[""<waita>@""]",,Left: Home
